LEGEND;Richards;DeltaBlue;Crypto;RayTrace;EarleyBoyer;RegExp;Splay;NavierStokes;PdfJS;Mandreel;Gameboy;CodeLoad;Box2D;Score
66;19557;19439;22303;26640;20928;3728;13756;25474;12570;22885;32417;21341;21236;18315
67;19494;19498;22122;26191;20802;3709;13472;25622;12186;22688;33661;21354;21236;18241
68;19536;19505;22644;26312;20830;3611;13830;25571;12281;22624;33828;21423;21236;18301
69;19568;19452;22235;26186;20801;3676;16005;25571;12209;23017;33761;21192;21069;18483
70;19533;19465;22313;26481;20856;3735;14098;25423;12269;23040;34064;21116;21131;18361
71;19540;19386;22546;26365;20941;3740;14090;25571;12488;22951;33794;21278;21667;18433
72;19526;19222;22315;26481;20862;3713;13708;25398;12186;22797;33661;18469;21385;18082
73;19501;19320;22562;27010;21062;3731;16013;25571;12186;22710;33695;21369;21385;18581
74;19522;19379;22317;26936;21069;3655;15817;25448;12104;22973;31579;21213;21048;18396
75;19526;19465;22484;26828;20777;3676;13527;25423;12389;23062;34064;21336;21215;18338
76;19526;19280;22421;26022;20746;3669;15826;25448;12617;22907;33562;21289;20930;18469
77;19561;19399;22799;26428;20820;3728;15899;25423;12104;23017;33628;21336;20950;18514
78;19557;19518;22671;26788;20822;3683;13603;25448;12257;22841;33562;21330;21257;18322
79;19554;19723;22409;26255;20792;3720;17309;25499;12127;22602;33562;21029;21300;18601
80;19508;19346;22102;26842;20726;3724;13432;25398;12341;22624;33661;21433;21152;18261
81;19536;19459;22696;26496;20824;3716;13501;25448;12562;22819;33828;21290;21385;18355
82;19487;19646;22871;26628;20847;3713;15769;25525;12150;22624;33794;21285;21215;18535
83;19515;19604;22613;27042;21152;3709;14073;25448;12305;22929;33695;21281;21215;18426
84;19518;19419;22499;26566;21053;3694;17594;25499;12069;22819;33497;21193;20950;18622
85;19268;19511;22528;26365;20677;3720;13509;25398;12209;22995;33929;21413;21048;18272
86;19508;19380;22173;26596;20920;3718;17374;25448;12104;22907;33828;21215;21173;18618
87;19526;19478;22182;26707;20805;3728;13368;25499;12377;22995;33728;21165;21048;18281
88;19483;19492;22310;26366;20909;3687;13468;25525;12451;22995;33761;21311;21257;18306
89;19045;19485;22257;26239;20943;3683;17374;25423;12162;23040;33595;21358;21321;18589
90;19557;19478;22287;26217;21079;3662;17545;25351;12465;22885;33929;21261;21667;18695
91;19271;19380;22140;26241;20780;3720;17618;25423;12000;22863;34098;21352;21194;18596
92;19466;19677;22402;26412;21098;3662;17993;25545;12688;23152;34064;21266;21048;18776
93;19561;19307;22342;26862;20967;3644;17374;25525;12174;23040;31548;21195;21688;18570
94;19515;19406;22295;26229;20990;3683;17741;25474;12688;23310;32696;21428;21048;18681
95;19247;19432;22619;26742;20786;3676;15907;25448;12676;22929;33828;21354;21427;18582
96;19533;19267;22595;26070;21024;3731;17708;25423;12186;23084;33728;21364;20950;18660
97;19526;19498;22738;26714;21010;3665;13520;25525;12150;21538;33301;21383;21194;18213
98;19324;19459;22344;26307;20688;3665;17553;25525;12139;23017;33761;20009;21517;18536
99;19554;19498;22380;26277;20793;3662;13324;25596;12488;22973;33595;21314;20950;18258
100;19571;19472;22353;26465;21072;3716;17195;25525;12377;22688;31154;21102;21645;18558
101;19409;19392;21963;26492;21116;3709;13381;25376;12081;23174;33595;21189;20909;18213
102;19434;19439;22777;26449;20701;3665;15711;25448;12906;23040;31487;21140;21385;18475
103;19526;19439;22557;26371;21201;3691;13533;25596;12221;23040;33761;21245;21539;18343
104;19257;19564;22396;26329;20799;3698;15801;25448;12676;23040;32540;21355;21517;18513
105;19494;19796;22180;26307;20832;3716;13666;25326;12150;22907;33761;21327;21131;18285
106;19543;19445;22569;26788;20988;3619;14302;25423;12034;22885;33661;21308;20723;18308
107;19204;19386;22467;26584;20854;3687;13504;25474;12475;22732;33728;21342;21300;18287
108;19540;19359;22521;27010;20962;3662;16119;25499;12127;23062;33728;21278;21581;18580
109;19451;19399;22448;26517;20891;3694;12851;25499;12882;22929;32696;21199;21363;18246
110;19487;20045;22661;26371;20739;3705;17366;25474;12162;23129;33661;21301;21215;18690
111;19321;19544;22575;26143;20691;3735;16135;25525;12186;22929;31610;21164;21194;18420
112;19511;19201;22267;26492;20651;3702;13617;25448;12329;22819;33761;21337;21385;18276
113;19518;19425;22383;26566;20822;3680;13644;25499;12550;22797;33728;21174;20888;18291
114;19547;19485;22445;26492;21087;3728;13472;25474;12535;23040;33497;21305;21731;18382
115;19557;19492;22271;26344;21087;3676;17195;25474;12377;22951;31703;21134;21321;18551
116;19501;19544;22181;26560;20764;3619;14008;25423;12488;22951;34132;21096;21215;18327
117;19529;19425;22423;26418;20767;3716;12896;25571;12402;22602;34030;21289;21517;18254
118;19515;19306;22407;26640;21203;3709;17561;25499;12488;22973;31890;21233;21385;18645
119;19437;19578;22474;26607;20820;3694;13297;25525;12438;23174;33628;21077;21257;18299
120;19508;19511;22544;26439;20763;3680;13382;25398;12317;22973;33497;21340;21539;18292
121;19508;19399;22870;26281;20849;3680;17276;25525;12057;22775;33366;21255;21517;18616
122;19511;19419;22240;26485;20851;3680;14196;25474;12652;23220;33794;21267;21667;18431
123;19518;19406;22583;26220;20822;3665;13131;25596;12587;22645;33595;21208;21236;18244
124;19557;19366;22662;26554;20931;3702;13485;25448;12377;23084;33497;21233;20516;18270
125;19494;19637;22732;26360;21193;3731;17268;25474;12389;23197;33595;21287;21427;18739
126;19261;19347;22398;26835;20936;3377;16518;25448;12233;23107;33761;21277;20930;18429
127;19533;19406;22650;26444;20829;3716;12934;25474;12150;22951;33861;21405;21215;18245
128;19441;19604;22438;26065;20912;3615;14008;25423;12197;22775;33962;21313;21111;18281
129;19497;19452;22083;26324;21000;3673;13603;25376;12269;22581;33695;21364;21321;18253
130;19557;19518;22508;26391;21072;3687;17292;25545;12233;22688;33929;21254;21753;18687
131;19540;19723;22187;26014;20813;3694;16225;25448;12772;22951;33794;21404;21560;18617
132;19483;19240;22398;26605;20902;3720;13524;25571;12341;22863;33628;21331;21048;18288
133;19533;19346;22472;26755;20707;3705;17292;25448;12081;22688;33661;21331;21215;18606
134;19515;19302;22325;26640;20807;3683;16152;25474;12341;22624;33075;21321;21363;18499
135;19487;19425;22155;27010;20856;3702;13599;25376;12257;22474;33366;21193;21048;18240
136;19547;19452;22267;26298;20767;3709;13524;25545;12269;22819;33628;21321;21173;18265
137;19515;19551;22613;26909;20979;3709;15964;25474;12186;22885;33728;21307;21342;18579
138;19473;19637;22338;26386;21200;3728;17415;25423;12389;22995;31579;21224;21321;18609
139;19480;19419;22476;26862;20987;3698;15989;25448;12209;23040;33562;21198;21236;18543
140;19321;19492;22837;26428;20978;3683;17741;25474;12562;22841;31579;20917;21406;18614
141;19402;19531;22593;26143;20749;3669;13462;25525;12341;23062;33794;21355;21363;18293
142;19691;19829;22451;26355;20967;3724;13511;25448;12525;22710;33828;21299;21342;18370
143;19522;19399;22044;26100;20825;3673;13643;25499;12377;22775;33628;21383;21624;18278
144;19321;19412;22648;26475;20823;3680;13291;25448;12600;23220;33962;21246;21194;18314
145;19437;19425;22287;26402;20884;3694;15956;25448;12546;22995;33728;21378;21645;18575
146;19490;20019;22822;26243;20839;3615;13681;25571;12365;23129;33861;21434;21173;18367
147;19561;19564;22563;26243;20945;3713;15728;25474;12269;22775;33728;21319;20888;18495
148;19511;19452;22385;26329;20810;3665;13482;25423;12269;22885;31395;21165;21300;18153
149;19409;19452;22503;26460;20741;3709;13601;25474;12233;23265;33761;21105;20867;18275
150;19536;19302;22553;26788;20952;3720;16111;25448;12186;22907;33728;21307;21840;18600
151;19317;19663;22702;26135;20871;3680;13544;25423;12329;22688;33794;21383;21581;18310
152;19480;19472;22091;26640;20438;3687;17235;25474;12281;23152;31518;21171;21152;18495
153;19515;19366;22638;25881;20718;3658;13520;25474;12139;22667;33761;21354;21342;18225
154;19529;19380;22143;26413;20738;3711;15271;25525;12808;22753;33695;21343;21300;18496
155;19543;19584;22458;26418;20960;3735;13666;25499;12293;23084;33661;21410;21321;18364
156;19261;19306;22584;26522;20797;3683;13412;25423;12500;23062;33929;21134;21363;18293
157;19504;19432;22669;26554;20771;3673;15866;25525;12512;22411;34030;21289;21194;18529
158;19518;19419;22329;26543;20619;3683;16127;25376;12162;22995;33929;21039;17517;18222
159;19564;19432;22344;26613;20991;3720;16054;25571;12317;22355;31274;21146;21581;18439
160;19508;19320;22276;26573;20806;3720;14204;25474;12736;22753;34030;21404;21581;18438
161;19518;19571;22627;26640;21107;3687;13519;25474;12365;22929;33929;21156;21321;18352
162;19289;19478;22927;26270;20705;3665;17586;25376;12092;23107;33562;21287;21385;18637
163;19660;19280;22652;26371;20761;3716;17390;25499;12081;23265;33268;21242;21173;18631
164;19529;19373;21818;26397;20845;3694;14530;25423;12186;22951;33497;21331;21342;18333
165;19300;19571;22873;26607;21077;3720;17700;25499;12209;22951;31365;21203;21406;18625
166;19444;19406;22201;26566;20881;3728;16127;25525;12162;23220;33728;21287;21194;18543
167;19504;19432;21924;26492;20990;3673;18075;25499;12664;22710;33828;21313;21257;18712
168;19264;19968;22683;26554;20809;3611;16860;25376;12150;22841;33628;21245;21385;18586
169;19554;19485;22397;26882;21130;3709;13406;25474;12772;22819;32727;21399;20909;18321
170;19331;19492;22245;26344;20978;3665;17700;25525;12640;23288;32602;21446;21069;18660
171;19533;19459;22180;26687;21078;3720;15752;25499;12943;22973;33497;21349;21090;18595
172;19543;19439;22740;25669;21105;3683;13593;25474;12605;22841;32665;21277;21688;18305
173;19540;19460;22386;26324;20827;3637;17268;25474;12034;22819;33828;21185;20888;18545
174;19293;19373;22280;26096;20779;3705;17227;25499;12150;23084;34098;21215;21236;18590
175;19529;19426;22486;26554;20794;3658;16013;25448;12712;22973;33562;21264;21602;18588
176;19554;19293;22585;26371;20752;3680;16152;25474;12221;23017;33366;21261;21774;18544
177;19282;19306;22290;26143;20787;3691;13291;25398;12115;23040;33562;21221;21069;18170
178;19208;19512;22573;26788;21047;3676;13460;25499;12426;23017;33828;20897;21560;18323
179;19462;19525;22629;26539;20854;3702;13690;25545;12057;22378;33268;21437;20846;18239
180;19515;19346;22264;26335;21096;3702;13492;25545;12233;17585;33431;21325;21090;17893
181;19522;19511;22899;26640;20922;3702;16966;25448;12664;23062;33794;21150;21688;18741
182;19483;19499;22466;26909;20999;3731;13454;25423;12162;22973;33695;21272;21321;18325
183;19504;19670;22605;26169;20920;3724;13521;25474;12550;23310;33996;21363;21090;18378
184;19547;19359;22708;27010;20880;3651;17700;25398;12209;22929;31610;21089;21236;18583
185;19508;19300;22364;26449;20852;3731;15019;25499;12293;22885;33529;18597;21624;18265
