LEGEND;Richards;DeltaBlue;Crypto;RayTrace;EarleyBoyer;RegExp;Splay;NavierStokes;PdfJS;Mandreel;Gameboy;CodeLoad;Box2D;Score
286;19469;19564;22305;26613;20718;3705;16029;25499;12414;23040;33728;21190;21840;18590
287;19511;19353;22521;26340;20754;3702;16111;25499;12104;23310;33595;21143;21048;18504
288;19490;19611;22505;26590;20800;3728;17464;25596;12011;22400;33431;21151;21667;18635
289;19529;19150;22298;26640;21096;3702;17439;25525;12293;22775;33895;21224;21560;18672
290;19511;19472;22774;26566;20827;3705;17268;25499;11887;22907;33497;21222;21796;18647
291;19511;19306;22364;26418;20667;3615;13976;25474;12488;22069;33497;21216;21539;18253
292;19536;19320;22334;26117;20813;3724;13614;25423;12127;22841;33529;21224;21560;18260
293;19526;19538;22687;26492;21045;3716;17252;25525;11864;22973;33661;21162;20846;18603
294;19508;19386;21963;26160;20748;3676;16111;25499;12057;23062;33695;21086;21602;18467
295;19543;19505;22156;26186;20786;3702;17170;25448;11887;22885;33895;21156;21173;18546
296;19462;19472;22439;26687;21131;3709;13533;25423;11989;22907;33236;21227;21406;18276
297;19501;19228;22520;26344;20654;3680;15980;25474;11954;22753;33464;21102;21236;18418
298;19522;19379;22497;26640;20912;3728;16869;25499;12011;22863;31274;21170;21152;18476
299;19515;19392;22856;26687;20770;3709;13535;25448;11943;22797;33828;21018;21602;18289
300;19487;19300;22577;26640;20855;3731;15964;25448;12069;23040;33464;21012;21152;18492
301;19540;19472;22757;26006;20707;3709;13513;25525;12174;23017;33562;21174;20909;18246
302;19504;19247;22500;26640;21037;3705;17724;25423;12600;22797;31244;21000;21111;18580
303;19536;18866;22460;26335;20794;3733;13230;25525;12069;23107;33728;21186;21753;18242
304;19515;19359;22662;26566;20979;3735;17716;25474;12587;22602;30569;21204;21300;18587
305;19508;19293;22317;26539;21017;3669;17692;25398;12250;23084;33464;21204;21236;18645
306;19533;19538;22455;26770;20713;3731;15752;25423;12034;22951;33794;21171;21539;18523
307;19536;19255;22422;25992;20714;3698;13532;25448;12069;23084;33562;21358;21048;18216
308;19536;19426;22432;26736;20453;3669;16649;25448;12081;23197;31124;21120;21581;18453
309;19522;19267;22189;26862;20944;3735;17358;25525;11921;23288;33333;21125;20971;18598
310;19190;19459;22108;26096;20831;3709;16021;25448;12104;22929;33562;21137;21069;18422
311;19518;19267;22507;26835;20980;3694;18091;25448;12414;23107;33761;21243;21496;18768
312;19487;19326;22518;27010;20890;3698;13673;25525;12104;23084;33828;21271;21300;18334
313;19561;19453;22146;26657;20871;3713;13453;25525;12245;23107;33464;21075;21300;18277
314;19515;19366;22486;26418;20600;3694;15785;25525;12465;22863;33333;21184;20888;18461
315;19501;19439;22757;26613;20757;3687;16127;25545;12000;22929;33661;21032;20909;18488
316;19444;19465;22447;26217;20784;3709;17545;25571;12000;23197;33562;21186;21342;18629
317;19494;19306;22473;26246;21053;3651;16005;25499;12845;22995;31365;21110;21966;18509
318;19487;19425;22668;26781;20734;3709;13627;25545;12162;22710;33761;21222;21111;18294
319;19518;19465;22500;26122;20673;3709;13396;25499;12127;23017;33595;21225;21539;18259
320;19504;18341;21312;26714;20863;3702;17154;25376;12069;22973;33794;21084;20909;18429
321;19504;19300;22302;26418;20778;3720;16119;25474;12081;23197;33728;21236;21539;18533
322;19480;19439;22451;26465;21141;3762;17235;25499;12377;22602;31094;21084;21517;18561
323;19526;19445;22333;26989;20943;3713;17659;25545;12550;23197;31395;21107;21496;18661
324;19497;19538;22662;26492;21124;3747;16127;25596;12209;23107;33497;21224;21602;18622
325;19293;19425;22266;26164;20739;3705;16111;25474;11989;22929;33366;21075;21342;18435
326;19533;19518;22552;26270;20743;3720;16983;25499;11977;23152;33497;21248;21560;18610
327;19511;19386;22504;26862;20717;3716;15809;25423;12562;23017;33431;21231;21624;18578
328;19511;19326;22218;26234;20942;3709;17651;25398;12600;22797;31184;20959;21342;18544
329;19533;19479;22642;26156;20893;3728;13610;25423;12281;23107;33761;21251;21385;18333
330;19540;19492;22418;26203;20909;3669;13567;25423;12269;22951;33661;21139;20641;18226
331;19536;19366;22236;26340;20804;3647;17545;25423;12057;23197;33929;21190;21427;18619
332;19473;19445;22523;26640;20949;3702;15931;25423;12092;23107;33628;21063;21602;18537
333;19434;19730;22378;26270;20863;3709;13561;25571;12329;22453;33236;21207;21173;18254
334;19533;19432;22302;26031;20729;3731;17439;25525;12092;22411;33595;21227;21363;18574
335;19483;19544;22634;26480;20845;3728;13582;25545;12233;23107;33562;21131;21131;18314
336;19494;19406;22305;26564;21134;3709;17765;25474;12365;22453;31365;21048;21300;18561
337;19469;19796;22525;26566;20861;3676;15785;25448;12115;23174;33529;21086;21215;18509
