LEGEND;Richards;DeltaBlue;Crypto;RayTrace;EarleyBoyer;RegExp;Splay;NavierStokes;PdfJS;Mandreel;Gameboy;CodeLoad;Box2D;Score
66;18209;3808;18031;26687;20757;3665;17887;25499;12269;21559;33398;21079;21427;16032
67;19250;3273;17292;26465;20722;3713;14196;25474;12821;22069;33861;21087;21560;15691
68;18233;4866;18537;26246;20833;3713;16062;25448;12162;21896;33043;20836;21363;16212
69;18191;4225;16180;26465;20771;3713;16746;25499;12139;21854;33464;20943;20495;15894
70;18248;3055;18304;26547;20644;3705;13968;25423;12570;21663;33012;21083;21385;15500
71;18188;4364;16384;26788;20557;3662;14302;25525;12500;21790;33043;21030;21363;15815
72;18202;4007;17684;26511;20814;3658;16135;25571;12426;21790;33828;21116;21173;15971
73;18163;2995;18163;26014;20622;3709;17292;25474;12023;22047;33301;21142;21173;15666
74;18226;4894;18224;26217;20652;3698;14041;25474;12512;21643;33236;21157;20909;16035
75;18202;3432;17825;26344;20748;3724;17602;25545;12034;22091;31579;20957;21496;15809
76;18233;3656;18097;26862;20771;3709;16127;25545;12034;21580;33301;20841;21300;15839
77;18237;4205;17319;26465;20707;3724;17301;25448;12186;21939;31244;21027;21236;15986
78;18170;3848;18024;26365;20747;3702;16037;25499;11921;21982;33728;20999;21496;15903
79;18212;4000;17788;26640;20728;3731;15997;25499;12023;21748;33172;21046;21300;15924
80;18198;3795;18064;26122;20510;3716;13487;25499;12550;22069;33861;21040;21131;15714
81;18230;3808;18191;26788;20720;3669;17635;25571;12046;22026;33366;20779;21028;15995
82;18209;4073;17009;26376;20637;3683;13352;25423;11989;21643;33562;21060;21427;15648
83;18233;3266;18267;26418;20665;3728;17928;25423;12700;21811;33301;20992;21194;15897
84;18205;3927;17954;26862;20732;3709;16355;25545;12257;21832;31274;21089;20909;15881
85;18205;3894;17674;26584;20547;3720;17358;25448;12587;22091;33562;20787;21406;16045
86;18188;3451;17829;26470;20725;3691;13992;25448;12808;21875;33661;21054;21427;15669
87;18237;3273;18011;26983;20708;3724;17431;25499;12034;21982;33728;21040;20971;15828
88;18191;3233;18372;26225;20640;3705;14000;25499;12575;21790;27000;21066;20805;15296
89;18219;4106;16326;26714;20691;3751;13433;25499;12438;22026;31426;20974;21517;15647
90;18163;4575;18530;26496;20795;3698;16820;25545;12257;21875;33464;20868;21385;16224
91;18212;4503;18549;26566;20690;3728;15899;24388;12535;22091;33929;20738;21194;16127
92;18244;4575;18531;25892;20585;3713;16037;25499;12046;21875;33236;20858;21560;16112
93;18138;3861;18213;26465;20650;3676;13380;25545;12293;21435;33075;21005;21131;15654
94;18226;3762;18228;26344;20799;3713;17292;25499;12127;21726;31094;21093;21152;15884
95;18248;3795;18153;26808;20933;3735;14424;25571;12748;22069;33728;21083;21363;15901
96;18191;4086;16666;26164;20700;3698;13560;25499;12115;22069;31274;20961;22272;15640
97;18226;4661;18340;26492;20610;3709;17504;25525;12011;22026;33861;20898;21300;16275
98;19300;3636;18455;26481;20782;3694;13394;25474;12269;21961;33828;21022;21406;15755
99;19264;3465;18549;26996;20591;3698;17382;25448;12092;21982;33728;20726;21111;15976
100;18226;3802;18174;26344;20725;3751;17822;25499;12600;21896;31034;21082;21406;16007
101;18223;3504;18280;26742;20748;3728;17423;25525;12023;18720;33661;21095;21131;15735
102;18177;4489;18329;26317;20649;3751;13425;25525;12000;21538;33464;21167;20930;15856
103;19328;3524;18188;25948;20768;3702;15956;25525;12475;21918;33628;20983;21363;15899
104;18195;3253;18000;26527;20905;3676;15891;25448;12023;21790;33595;20860;21342;15672
105;18219;4850;18638;26613;20873;3716;17765;25448;12353;22134;31335;21007;20950;16314
106;18209;4496;18469;26936;20757;3758;17700;25525;12221;21684;31154;21066;21194;16200
107;18248;3762;18180;26714;20682;3669;17488;25499;12570;21811;33728;21028;21300;16045
108;18173;4060;16707;26835;21059;3728;16901;25525;12150;21854;33628;20850;21111;15972
109;18212;3584;18060;26492;20740;3673;17480;25571;12057;21601;33794;20802;21667;15919
110;18230;3517;18136;26539;20817;3705;13330;25398;12069;22134;33595;20797;21090;15575
111;18191;3253;18268;26465;20528;3683;15769;25474;12081;21854;33431;21032;21152;15662
112;18198;3736;18148;26539;21099;3673;17643;25423;12245;22047;31426;20972;21173;15939
113;19328;3597;18201;26862;20781;3724;15931;25499;11932;21854;32759;21169;20888;15866
114;18205;3782;17851;26681;20804;3694;15801;25571;12069;22004;33075;21056;21257;15856
115;18209;3491;18091;26492;20737;3640;17806;25525;12209;21875;31304;21070;21363;15834
116;18202;3088;18453;26492;20748;3694;16380;25525;12293;21939;33529;21104;21215;15715
117;18202;4787;18439;26849;20633;3720;17545;25499;12269;21896;33529;21084;21300;16355
118;18226;3273;18034;26361;20712;3644;13567;25571;12174;21601;32916;20878;21152;15442
119;18198;3696;17631;26317;20586;3694;17064;25474;12081;21875;31335;21000;21385;15804
120;18152;4767;18349;26139;20876;3716;14399;25474;12341;22091;33497;20960;21236;16079
121;18241;3617;18067;26402;20750;3665;15809;25545;12034;21982;33172;20910;21215;15780
122;18216;3974;18042;26862;20862;3709;13327;25545;11977;21961;33366;20866;21236;15725
123;18184;3009;18206;26566;20628;3633;15915;25545;12512;21415;33431;20990;21173;15589
124;18226;3313;18085;26788;21014;3724;17887;25474;12426;21918;31274;20992;21257;15844
125;18223;3623;18104;26309;20765;3705;14114;25423;12523;22113;33398;21145;20950;15712
126;19271;4245;16939;26270;20708;3683;16013;25423;11909;18182;33140;21042;21131;15729
127;18233;3517;17953;26543;20568;3691;15923;25545;12562;21896;33695;21100;21278;15832
128;18202;4146;17140;26539;20825;3680;16200;25448;12377;21939;33794;20895;21406;15986
129;18241;3901;18387;26628;20914;3694;16412;25448;12139;21748;31365;21000;21090;15892
130;18202;4079;16653;26613;20706;3709;17398;25571;12575;21875;31548;21029;21667;15984
131;18237;4357;16990;25966;20775;3713;14970;25545;12570;21790;33861;21053;21385;15948
132;18181;4878;18486;26344;20668;3694;14025;25474;12488;21769;33431;20793;20846;16037
133;18191;3551;17650;26169;20592;3716;13862;25398;12426;21939;31579;21134;21560;15567
134;18237;3663;18341;26855;20646;3705;16893;25474;12575;21896;31579;20951;21257;15913
135;18181;3683;18167;26687;20382;3716;13436;25398;12034;21875;33464;21087;21300;15629
136;19303;4066;17256;26286;20918;3709;17602;25525;12162;21875;33595;20797;21560;16123
137;18145;3742;18021;26470;20485;3673;16225;25545;11909;21622;33398;21001;20930;15798
138;18205;4456;17354;26366;20711;3691;13315;25423;12317;21939;33794;21017;21300;15832
139;19278;3531;18161;26532;20754;3687;16771;25525;12127;21896;31456;20984;21069;15845
140;18198;3094;18308;26243;20392;3716;17406;25596;12034;21896;33962;21050;21539;15762
141;18223;4397;17439;26428;20719;3665;13403;25545;11954;22113;33529;21169;21069;15791
142;18205;4688;18285;26344;20915;3724;14139;25525;12365;22113;33562;20671;21257;16042
143;18230;4641;18392;27069;20845;3720;13418;25525;12023;21769;33366;21032;21257;15962
144;19300;3921;17667;26663;20625;3747;13470;25448;12127;21832;33661;21056;21278;15783
145;18188;2691;18233;26492;20821;3702;15687;25525;12582;22047;33595;21128;21539;15545
146;18233;4146;17032;26909;20886;3662;13345;25499;12293;21982;33794;21042;21363;15760
147;18195;4813;18138;26291;20594;3680;17341;25474;12127;21918;33529;21030;21406;16272
148;18177;4826;18719;25921;20649;3702;13417;25545;12293;21559;33695;20931;21406;15989
149;18209;3894;18334;26788;21081;3633;15149;25596;12525;21896;33366;21001;21321;15925
150;18230;3517;18327;26314;20406;3724;13483;25622;12127;21875;33464;20830;21215;15579
151;18216;3498;18187;26517;20748;3705;17651;25499;12600;21961;30600;21137;21069;15858
152;18184;4384;15801;26640;20840;3669;17643;25448;12127;21896;31304;21149;21257;15944
153;18205;4225;16818;26344;20732;3705;17301;25474;12257;22069;31274;20950;21111;15948
154;18195;4377;16418;26382;20770;3683;15744;25474;11977;21726;33172;21001;21385;15886
155;18205;3081;18306;26113;20948;3687;17618;25474;12377;21790;31456;21046;21342;15707
156;18184;4846;18278;26835;21094;3694;17415;25596;12617;21790;33895;21071;21236;16411
157;18188;3603;18157;26492;20776;3720;13434;25499;12011;21811;33761;20925;21131;15609
158;18184;4741;18052;26010;20988;3740;13692;25596;12023;21748;33529;21093;21496;15979
159;18198;3590;18038;26533;20614;3709;15899;25525;12570;21622;33366;20820;21539;15838
160;18205;4179;16691;26392;20596;3702;13568;25398;12281;22113;33529;21133;20909;15707
161;18226;4126;16844;26640;20779;3735;17553;25448;12575;21961;31124;21030;21173;15993
162;18219;4443;18139;26293;20875;3698;16698;25525;12389;21811;33996;21040;21342;16188
163;19317;4864;18244;26135;20801;3705;15923;25474;12139;21811;33562;20891;21427;16264
164;18145;4569;18169;26882;20629;3655;16184;25525;11989;19580;33628;20929;20909;15959
165;18237;3756;18214;26350;20669;3713;13463;25474;11954;21790;32980;21081;21278;15634
166;18230;2770;18430;26613;20497;3713;17537;25571;12269;21684;33828;21071;21581;15679
167;18205;3061;18298;26360;20869;3683;13422;25499;12269;22047;33728;20874;21496;15465
168;18230;4774;18259;26835;20938;3705;14334;25499;12281;22047;33497;20954;21300;16103
169;18205;4701;17983;26255;20681;3713;15752;25448;12488;21896;33529;20972;21363;16156
170;18226;4831;18576;26936;20768;3716;17423;25596;12535;21790;33861;21074;21342;16420
171;18216;4417;16626;26317;20868;3716;15964;25525;12104;22047;33301;21060;21342;15983
