LEGEND;Richards;DeltaBlue;Crypto;RayTrace;EarleyBoyer;RegExp;Splay;NavierStokes;PdfJS;Mandreel;Gameboy;CodeLoad;Box2D;Score
66;18738;19101;20850;25974;20896;3713;17952;25351;12475;21072;31274;21183;20909;18251
67;18823;19359;20938;26566;20615;3705;13720;25250;11842;21252;32853;21437;20723;17923
68;18749;18996;21277;25848;20467;3691;13740;25250;12057;21033;33236;21271;20764;17881
69;18819;19135;20817;26714;20564;3637;18132;25300;12414;21394;30975;21248;21363;18291
70;18819;19148;20872;26539;20499;3702;17732;25250;11977;20916;33140;21366;21152;18280
71;18830;19168;21138;26492;20657;3716;13642;25228;11943;21273;33204;21271;20702;17933
72;18738;19075;21054;26270;20652;3694;18042;25326;12269;20751;33236;21351;21048;18321
73;18805;19227;21108;26126;20816;3716;17081;25300;12000;20958;30207;21316;20621;18093
74;18745;19009;21050;26714;20522;3698;17227;25376;11853;21293;32303;21179;21069;18208
75;18781;19174;20772;26122;20676;3504;17578;25326;12488;21354;31124;21276;20805;18147
76;18583;19254;20958;26687;20685;3698;14334;25275;12537;21374;33204;21272;21131;18088
77;18728;19022;21179;26048;20674;3720;17048;25275;12034;21053;30478;21298;20888;18100
78;18699;19035;21054;26640;20729;3702;17798;25228;12500;21333;33595;21362;21069;18401
79;18841;19088;20989;26769;20700;3669;16950;25300;11989;21394;31154;21075;21385;18180
80;18703;19141;21141;26687;20648;3698;17504;25300;11989;21212;33075;21227;21321;18310
81;18763;19273;21289;25726;20596;3694;14440;25351;12537;21092;33464;21295;21194;18078
82;18791;19168;20980;26203;20832;3637;17936;25250;12377;14793;31890;21340;20950;17779
83;18767;19359;21065;26381;20863;3673;13529;25376;12139;21313;33595;21259;20971;17984
84;18721;19187;21177;25974;20906;3705;16461;25250;11989;21232;33301;21233;20805;18187
85;18759;19214;20951;26539;20523;3702;17358;25376;11842;21252;33301;21362;20930;18262
86;18770;19287;20939;26539;20538;3676;13464;25326;12092;21313;31154;21197;21152;17848
87;18784;19121;21113;26628;20805;3713;13528;25275;12150;21313;33301;21313;21131;17993
88;18742;19174;20869;25774;20484;3728;17529;25351;11887;21072;33497;21283;20971;18230
89;18625;19016;20870;26066;20721;3716;17195;25300;12162;21252;33140;21302;21173;18251
90;18802;19075;21063;26465;20592;3720;17569;25376;11989;21273;33043;21186;20723;18270
91;18752;19095;20828;25948;20787;3716;17944;25300;12305;21354;33043;21434;20353;18294
92;18745;19148;21032;26317;20685;3705;17635;25326;12475;20958;29537;21321;20784;18155
93;18827;18969;21146;26492;20710;3698;17887;25300;12475;21033;31064;21300;20805;18258
94;18731;18982;20935;26317;20613;3665;17781;25228;12233;21053;32948;21316;20909;18261
95;18763;18844;21098;26267;20795;3735;13837;25351;12174;21232;33301;21275;21152;17990
96;18869;19221;20960;26186;20697;3655;14245;25228;11966;21053;33140;21183;20723;17932
97;18827;19108;21117;26465;20487;3716;17561;25275;11921;21313;33012;21292;20826;18270
98;18827;19042;21209;26862;20568;3691;17643;25300;12057;21053;31518;21199;20971;18233
99;18802;19181;21128;26492;20542;3698;16437;25300;11966;20979;33301;21446;21321;18219
100;18731;18943;20901;26243;20683;3662;17545;25351;12162;21132;33043;21234;21427;18274
101;18749;19240;20733;26319;20720;3676;17105;25178;12115;20388;30539;21342;20353;18022
102;18795;19108;21125;26324;20755;3673;13561;25275;12221;21354;33628;21419;20764;17969
103;18724;19029;21032;26566;20696;3709;17749;25228;12341;21293;31214;21144;20867;18242
104;18816;19240;21065;26407;20784;3736;13411;25250;12174;21172;33366;21261;21363;17991
105;18781;19214;21162;26225;20709;3669;14261;25228;11954;21000;33464;21366;21152;17997
106;18915;19194;20935;26260;20624;3665;14734;25398;12069;21394;33075;21305;20826;18038
107;18876;19088;20915;25974;20897;3709;17936;25300;12262;21053;33301;21140;21300;18345
108;18816;19135;20999;26049;20737;3731;13546;25326;12127;21152;33431;21287;20971;17945
109;18798;19247;20958;26208;20824;3687;16469;25351;12034;21092;33204;21377;21131;18212
110;18887;19121;21169;26344;20533;3705;18026;25351;12451;21192;30327;18846;21300;18107
111;18721;19221;20971;26270;20865;3702;17105;25300;12257;21293;31214;21188;21111;18206
112;18745;18996;21237;25697;20778;3713;17105;25203;12197;20875;31154;21139;19371;18011
113;18812;19353;20976;25859;20831;3687;17838;25228;12575;21053;31094;21330;21496;18297
114;18855;18963;21187;26566;20615;3691;13722;25250;12186;21333;33236;21366;20971;17981
115;18759;19121;21011;26096;20692;3680;14342;25351;12438;21053;31184;19496;20950;17812
116;18558;19168;21220;26788;20734;3698;13748;25351;11943;21333;33140;21318;21090;17979
117;18759;19042;20961;26317;20731;3728;17431;25275;11966;21152;33236;21251;20971;18263
118;18830;19187;20980;26566;20484;3691;15646;25326;11921;21212;33366;21345;20784;18112
119;18756;19009;20823;26391;20508;3720;17545;25376;11864;21053;33107;21239;21517;18263
120;18756;19148;20724;26196;20653;3680;16046;25275;11966;21232;33107;21254;20867;18102
121;18759;19287;20935;25936;20766;3651;14294;25351;12465;21013;33366;21187;20846;18001
122;18749;19135;21008;26122;20702;3728;17887;25228;12712;21092;33366;21493;21385;18424
123;18731;19108;21101;26122;20831;3705;18140;25300;12377;21232;33140;21374;20846;18369
124;18770;18969;20990;26613;20457;3673;17700;25275;12402;21112;31184;21179;20661;18191
125;18763;19340;20908;26539;20500;3640;17594;25351;11966;20937;33431;21389;21215;18281
126;18770;18956;21021;26317;20536;3702;13699;25228;11831;21252;33172;21310;20764;17880
127;18724;19194;21049;25900;20503;3658;17512;25351;11898;21252;33497;21357;21048;18246
128;18819;19068;21032;26196;20578;3735;17472;25376;11954;21172;33301;21031;21194;18272
129;18664;19088;21065;26196;20643;3680;14334;25398;12011;21212;33366;21348;20909;17987
130;18721;19115;21293;26196;20680;3640;17961;25351;12463;21313;30600;21336;20784;18236
131;18805;19280;20822;26460;20825;3637;17920;25300;12221;21033;33236;21278;21152;18330
132;18752;18996;21283;26492;20561;3713;18205;25326;12174;21252;33301;21266;21152;18384
133;18827;19201;21116;26412;20892;3694;17170;25275;12426;21112;31365;21179;20702;18219
134;18816;19088;21003;26270;20504;3665;17504;25250;11966;20979;31827;21077;21111;18162
135;18816;19121;20990;26418;20554;3702;17227;25300;11954;20875;32885;21325;20971;18214
136;18714;19108;21054;26566;20811;3669;16559;25300;11954;21354;31184;21212;20971;18117
137;18675;19009;21274;26196;20634;3694;17097;25250;12069;21273;30569;21253;20867;18117
138;18752;19075;20919;26566;20562;3662;17749;25351;11898;20690;33431;21396;21215;18264
139;18823;19227;21126;26190;20436;3720;13620;25275;11876;21293;33333;21381;21131;17941
140;18816;18976;21027;26270;20709;3683;16983;25275;12057;21072;31335;21319;20888;18132
141;18756;18982;21087;25426;20725;3731;17806;25275;12525;21313;31274;21281;20764;18227
142;18802;19082;21160;26169;20771;3669;16958;25275;12057;21232;30508;21227;20702;18093
143;18714;19055;21262;26613;20551;3698;17952;25326;12353;21374;30569;21287;21278;18282
144;18682;19128;20731;26687;20533;3683;17667;25423;11932;21152;32759;21305;20888;18239
145;18788;19009;21294;26586;20977;3713;18034;25250;12353;21374;33431;21486;20723;18424
146;18795;19148;21091;26418;20669;3702;17789;25228;12233;21000;33204;21460;20784;18321
147;18809;19161;21082;26096;20693;3687;17488;25250;11954;21053;32916;21161;20601;18205
148;18774;19161;21075;26122;20720;3720;14970;25351;12317;21092;33075;19989;20950;18001
149;18728;18744;21144;26689;20660;3673;17936;25300;12293;21415;30600;21337;18544;18060
150;18696;19293;20844;26687;20475;3683;17496;25423;12115;21053;33366;21411;20702;18277
151;18823;19227;21222;26022;20689;3691;17993;25326;12488;21072;31124;18826;21710;18155
152;18647;19234;20938;26255;20512;3691;13710;25398;11966;21033;33398;21234;21278;17926
153;18770;19313;20938;25974;20720;3694;14179;25228;12426;21293;33431;21315;20784;18022
154;18664;19141;20772;26418;20666;3680;17276;25376;12011;20854;33140;21389;21090;18225
155;18710;19022;21037;25848;20586;3662;13535;25250;11932;21232;33398;21163;20930;17851
156;18671;19095;20993;26391;20621;3619;14188;25351;12186;21313;33012;21324;21300;17988
157;18872;19068;20947;26391;20694;3665;17651;25300;12500;21333;31124;21129;20867;18236
158;18735;19168;21152;26344;20631;3720;17390;25351;12011;20854;33366;21336;20764;18259
159;18756;19181;21127;26613;20604;3735;17455;25326;11864;21053;33236;21275;21131;18293
160;18770;19062;21096;25974;20738;3709;16510;25228;12034;21374;30508;20662;21069;18042
161;18767;18850;21036;26196;20692;3716;17610;25398;11932;21092;33464;21325;20826;18259
162;18735;19168;21160;26862;20471;3705;17602;25275;11954;20979;33529;21416;20826;18301
163;18788;19221;21140;26317;20505;3698;14579;25326;12104;21172;33301;21413;20682;18029
164;18844;19174;21309;25948;20660;3713;17684;25275;11977;21354;32821;21413;20846;18292
165;18855;18982;21182;26613;20582;3487;16152;25326;12034;21172;33333;21292;21131;18116
166;18724;19148;20937;26539;20719;3698;17847;25326;12488;21252;30539;21263;21278;18272
167;18770;18890;21284;26613;20682;3665;13672;25351;12150;21333;30417;21347;21278;17866
168;18795;19254;20835;26213;20783;3683;14668;25326;12104;21394;33301;21357;17984;17845
169;18703;19002;21237;26194;20818;3683;16290;25275;11989;21232;33075;21259;21048;18169
170;18844;19095;20968;26169;20655;3676;14294;25250;12558;21212;33043;21271;20930;18025
171;18759;19088;20948;26365;20736;3655;17708;25351;12245;21313;33398;20252;20950;18248
172;18855;19009;21144;26096;20728;3698;18295;25300;12353;21000;33204;21481;20867;18368
173;18742;19168;21020;26344;20536;3724;17341;25250;12104;20916;33301;21274;21152;18270
174;18742;19108;21299;26714;20860;3702;16926;25326;11688;20916;33695;21234;20867;18233
175;18668;18969;21025;26714;20654;3724;13631;25351;11966;21313;33140;21280;20930;17937
176;18858;19088;21098;26669;20672;3676;17651;25228;12081;21415;31124;21086;20723;18204
177;18724;19108;21146;26566;20441;3669;18010;25300;12221;21252;33075;21283;21090;18336
178;18731;18982;20937;25948;20903;3669;17268;25300;12438;21132;30569;21353;21090;18163
179;18812;19088;21286;26613;20663;3669;13428;25376;12104;21293;32853;21316;20971;17937
180;18841;19029;21185;26465;20803;3683;16755;25326;12092;20528;31274;21252;20393;18076
181;18759;19194;20947;26392;20708;3683;17602;25326;11876;21013;33464;21218;21152;18275
182;18643;19214;21102;26862;20620;3698;13655;25300;12069;21000;33497;21336;21111;17975
183;18752;19214;21195;26246;20613;3702;13590;25326;12011;20710;32885;21360;20971;17894
184;18767;19022;21224;25874;20553;3720;17211;25376;11921;21273;33464;21324;21131;18257
185;18752;19088;21134;26243;20615;3680;15940;25228;11898;21252;32696;21321;21048;18106
186;18802;19108;21161;26862;20615;3724;17651;25398;11932;21333;32885;21371;20888;18324
187;18689;19101;21095;26566;20811;3680;14481;25275;12664;21252;33366;21427;20454;18081
188;18774;18969;21007;26566;20810;3528;15361;25326;11977;21313;33268;21349;21278;18070
189;18781;18982;21288;25874;20815;3669;16991;25250;12092;21232;31034;21173;20950;18122
190;18812;19049;21033;26788;20821;3735;13591;25376;12197;21313;33268;21377;21131;18022
191;18788;19062;21136;25874;20756;3680;16502;25326;11943;20568;32980;21322;20971;18117
192;18848;19135;21107;26439;20780;3680;17382;25398;12127;21333;33301;21292;21236;18335
193;18770;19095;21031;26566;20521;3716;17578;25351;11898;21033;33398;21298;21152;18290
194;18714;19168;21069;26539;20879;3676;16380;25300;12092;21192;33628;21366;21194;18249
195;18777;19214;20999;26048;20775;3615;15475;25326;11954;21132;33012;21384;20826;18049
196;18827;19121;21027;26022;20645;3691;14408;25300;12562;21415;33268;21434;20661;18056
197;18745;19227;21166;26344;20778;3658;16331;25178;11943;21132;32916;18673;20950;17972
198;18763;19002;21036;26539;20692;3716;17635;25275;12305;21192;31005;21146;20909;18220
199;18731;19214;20876;26169;20632;3713;17749;25300;12081;20958;33140;21343;20971;18277
200;18774;19115;21154;26742;20737;3694;13575;25326;12233;21333;33562;21289;21090;18013
201;18795;19115;21038;26714;20673;3311;13656;25300;12046;21252;30478;21161;21069;17690
202;18798;18837;21065;26122;20714;3713;17276;25448;11977;21273;32853;21277;21069;18239
203;18770;19075;21178;26270;20727;3665;17610;25351;11898;20916;33464;21212;21363;18282
204;18731;19154;21265;26196;20661;3673;17480;25376;11954;21072;32948;21183;21236;18261
205;18795;19082;20921;26714;20907;3698;16331;25275;12162;21293;33301;21374;20971;18239
206;18678;18222;21109;26096;20581;3687;17292;25376;12023;20958;33301;21325;21131;18175
207;18784;19062;21088;26391;20564;3713;17537;25300;12046;21333;33431;21378;21131;18321
208;18703;18916;21165;26862;20535;3713;17439;25300;11943;21000;33012;21178;20784;18236
209;18735;18771;21108;25922;20545;3680;13739;25351;11898;20958;33107;21218;20212;17795
210;18735;19121;21292;26492;20786;3694;16021;25203;11898;20979;33075;21331;20909;18142
211;18678;19055;20983;26492;20555;3724;17480;25228;11932;21112;32400;21126;20805;18195
212;18759;19128;21057;26465;20483;3733;13609;25376;11700;21132;33431;21368;20971;17913
213;18869;19062;21137;26270;20785;3694;17097;25351;12000;21273;33398;21175;20971;18264
214;18795;19187;20870;26122;20560;3665;17464;25300;12081;20979;33204;21216;21069;18234
215;18770;19108;21091;25796;20760;3687;18001;25326;12186;21232;32948;21339;21321;18332
216;18749;19194;21121;26048;20660;3651;15540;25326;12605;20916;33236;21443;20867;18141
217;18805;19068;21077;26522;21030;3698;17341;25376;11853;21172;32980;21186;20723;18251
218;18738;19016;21134;25922;20802;3662;17977;25300;12186;21152;33464;21343;21028;18320
219;18851;19273;20927;26391;20617;3694;17659;25376;12034;21273;33464;21305;21131;18332
220;18823;19035;20991;26613;20566;3662;17488;25300;11932;21152;33204;21284;21069;18259
221;18714;19141;21003;26376;20823;3687;13586;25300;12034;21112;30569;21315;20661;17793
222;18731;18903;21039;26418;20673;3694;17032;25228;11932;21092;30357;21339;20580;18055
223;18819;19247;20946;26391;20508;3720;17586;25423;12011;21112;33431;20068;21048;18224
224;18798;19121;21231;26492;20621;3720;14701;25398;11954;21112;33236;21371;21236;18079
225;18756;19108;20998;26344;20623;3702;17488;25250;12293;20896;30539;21220;21278;18178
226;18798;19194;21154;26173;20806;3687;17129;25376;12081;21072;31274;21158;21131;18181
227;18731;18916;20947;26122;20500;3724;17154;25275;12426;21212;30569;21316;20743;18130
228;18710;19115;21293;26243;20630;3658;17667;25228;12245;21212;30569;21301;20784;18176
229;18749;19148;20996;26640;21107;3673;17969;25203;12575;21072;31304;21161;21131;18318
230;18689;19002;21116;26613;20624;3720;17480;25351;12104;21132;33172;21287;21028;18298
231;18791;19035;20964;26344;20616;3709;14603;25423;12197;21456;33431;21318;20826;18063
232;18678;19181;21031;26309;20683;3705;13642;25376;12281;20875;33529;21328;20846;17951
233;18745;19002;21069;26288;20775;3698;14188;25398;12500;20731;33366;21367;21152;18034
234;18756;19148;21182;26613;20548;3655;17521;25275;11966;20979;33661;21168;20826;18259
235;18692;19022;20961;26344;20707;3673;17651;25326;12562;20958;31548;21313;20930;18240
236;18834;18996;21200;26566;20593;3676;17423;25275;11876;21232;33012;21315;20930;18252
237;18657;19280;21185;26260;20696;3691;14391;25376;12664;21212;33398;21265;21300;18119
238;18865;19194;21089;26460;20951;3713;17757;25300;12600;21293;31184;19979;20743;18226
239;18745;18771;21178;26122;20643;3687;17838;25398;12081;21313;30508;21240;20805;18156
240;18664;19135;20881;26936;20957;3691;17097;25250;12305;20875;31005;21215;21111;18193
241;18802;19366;20803;26169;20925;3687;17961;25300;12233;20608;33172;21446;20621;18294
242;18788;19121;20954;26382;20831;3713;17268;25300;12011;21132;31214;21234;20867;18172
243;18777;19135;20960;26360;20663;3691;17464;25423;12281;21132;33301;21340;21194;18325
244;18777;19115;21302;26255;20809;3720;17789;25326;12057;21112;33172;21378;21048;18342
245;18777;19055;20759;25826;20737;3694;17129;25250;12115;21013;30387;21242;20909;18066
246;18618;19022;21081;26196;20453;3665;13550;25250;11898;21132;33172;21093;20909;17833
247;18671;19068;21224;26554;20766;3720;17268;25398;11943;21333;33268;21357;20909;18295
248;18710;19128;21178;26492;20551;3680;17358;25351;11921;21053;33398;21471;20784;18254
249;18844;19181;21182;26270;20654;3728;17521;25326;11932;21232;33204;21340;20621;18279
250;18745;19062;21136;26096;20669;3705;15842;25178;12127;21394;33236;21399;20950;18155
251;18805;18910;21086;26048;20595;3720;15663;25300;12426;21456;32948;21299;21111;18164
252;18781;19240;21163;26539;20549;3651;17610;25326;11887;21092;32948;21321;20743;18244
253;18735;19168;21151;25700;20707;3662;17317;25351;12139;21293;32980;21228;20971;18236
254;18830;18949;21049;26465;20517;3669;16233;25203;11876;21112;33107;19935;20743;18013
255;18650;18969;20960;26613;20624;3707;17480;25326;11876;21172;33140;21328;20764;18235
256;18763;18930;21290;26714;20653;3713;13539;25250;12127;21354;33268;21304;20930;17968
257;18699;18989;20751;26344;20505;3716;17260;25398;11921;21033;32885;21127;20723;18163
258;18784;19082;21067;25726;20471;3644;18018;25250;12186;21273;33043;21312;20950;18267
259;18756;19075;21335;26270;20725;3713;17724;25351;12081;21072;32948;21318;20909;18306
260;18781;19359;21192;26104;20970;3669;17863;25250;12402;21415;31304;21164;21069;18303
261;18759;19273;21100;26412;20768;3691;17569;25398;12011;21000;33172;20870;21257;18287
262;18749;19029;20914;26566;20232;3676;17317;25351;11909;21374;33464;21363;20888;18232
263;18707;18903;21009;26909;20570;3720;17773;25228;12377;21293;31005;21176;20764;18235
264;18717;19247;21158;25900;20680;3728;17488;25300;12092;21293;32916;21319;21173;18297
265;18858;18910;21064;26391;20636;3691;16901;25275;11977;21053;31124;21147;20971;18104
266;18858;19115;20965;26613;20624;3713;17659;25351;11909;21172;33301;21113;20723;18273
267;18858;19075;21149;26191;20723;3705;17349;25376;12162;21252;33268;21313;20888;18299
268;18858;19035;20916;25900;20590;3655;17561;25228;12034;20854;33431;21348;20950;18217
269;18770;18910;21024;26048;20437;3680;17268;25326;12081;21252;33398;21336;21090;18236
270;18759;19247;21040;26549;20686;3691;17512;25398;12139;20937;33366;21331;21173;18323
271;18823;17898;20971;26122;20688;3683;14245;25351;12365;20916;30508;21270;20454;17756
272;18872;19029;21172;26492;20538;3724;17268;25228;11876;21293;33431;21307;20846;18266
273;18788;19121;21067;26122;20655;3724;17651;25300;12092;21172;33012;21196;20723;18267
274;18707;18916;21191;26096;20798;3680;16494;25153;11932;21132;33431;21239;20516;18127
275;18816;19333;21287;26428;20823;3724;17015;25275;11688;21000;33107;21362;21342;18271
276;18699;19022;21092;26317;20795;3669;17700;25300;12512;21313;30417;21154;21131;18224
277;18858;19035;21279;26465;20631;3640;16127;25376;12162;20548;33562;21254;20930;18149
278;18692;19022;21078;27010;20832;3713;14677;25326;12341;21456;33529;21407;20702;18132
279;18731;19115;21090;26640;20534;3705;13598;25228;11932;21273;32335;21149;20971;17882
280;18823;19267;20951;26043;20719;3680;14294;25423;12046;21394;33333;21236;21300;18031
281;18816;19095;21179;26243;20705;3669;17928;25300;12377;21333;32853;21305;21069;18353
282;18721;19035;21221;25948;20645;3709;17871;25275;12281;20979;33695;21380;21194;18347
283;18819;19088;21363;26391;20524;3709;17341;25326;11977;21132;33012;21245;20888;18261
284;18724;19141;20946;26122;20709;3626;17928;25228;12221;21232;31154;21236;20373;18156
285;18749;19207;21130;26391;20723;3713;17822;25250;12463;21033;30417;20834;21131;18221
