452661	0.0382737	0.961726	17325	435336	0x186b049	[IFEQ_JUMP]	415	[deltablue.js]	414
386331	0.0264799	0.97352	10230	376101	0x186afd9	[IFEQ_JUMP]	408	[deltablue.js]	407
76626	0.0142119	0.985788	1089	75537	0x191a099	[IFEQ_JUMP]	491	[deltablue.js]	490
57057	0.70908	0.29092	40458	16599	0x1917c9c	[IFEQ_JUMP]	746	[deltablue.js]	741
57057	0.587045	0.412955	33495	23562	0x1917c88	[AND_JUMP]	746	[deltablue.js]	741
26532	1	0	26532	0	0x186b6ac	[IFEQ_JUMP]	118	[deltablue.js]	117
23364	1	0	23364	0	0x191b808	[IFEQ_JUMP]	699	[deltablue.js]	694
16797	0.996071	0.00392927	16731	66	0x18771f6	[IFEQ_JUMP]	177	[deltablue.js]	175
16797	0.398821	0.601179	6699	10098	0x1877af1	[IFNE_JUMP]	594	[deltablue.js]	591
16731	1	0	16731	0	0x187728b	[IFEQ_JUMP]	187	[deltablue.js]	175
16731	0.599606	0.400394	10032	6699	0x1877256	[IFEQ_JUMP]	185	[deltablue.js]	175
16632	0.400794	0.599206	6666	9966	0x191a24c	[IFEQ_JUMP]	507	[deltablue.js]	503
16632	0.00396825	0.996032	66	16566	0x191a21c	[AND_JUMP]	506	[deltablue.js]	503
16566	0.199203	0.800797	3300	13266	0x191a22d	[AND_JUMP]	506	[deltablue.js]	503
13464	0.990196	0.00980392	13332	132	0x191c33b	[IFEQ_JUMP]	726	[deltablue.js]	715
13464	0.504902	0.495098	6798	6666	0x191c3ca	[IFEQ_JUMP]	732	[deltablue.js]	715
13464	0.495098	0.504902	6666	6798	0x191c3b6	[AND_JUMP]	732	[deltablue.js]	715
13233	0.750623	0.249377	9933	3300	0x18d36d7	[IFEQ_JUMP]	360	[deltablue.js]	359
13233	0.74813	0.25187	9900	3333	0x18d37d2	[IFEQ_JUMP]	370	[deltablue.js]	359
13233	0.74813	0.25187	9900	3333	0x18d3748	[IFEQ_JUMP]	365	[deltablue.js]	359
10131	0	1	0	10131	0x191b974	[IFEQ_NOJUMP]	657	[deltablue.js]	651
10131	0	1	0	10131	0x191b95c	[AND_NOJUMP]	657	[deltablue.js]	651
9999	0.660066	0.339934	6600	3399	0x187778c	[OR_JUMP]	541	[deltablue.js]	540
9966	0.337748	0.662252	3366	6600	0x18d41b4	[OR_JUMP]	439	[deltablue.js]	437
9900	0.333333	0.666667	3300	6600	0x186b26a	[IFEQ_JUMP]	427	[deltablue.js]	423
9900	0	1	0	9900	0x18d3848	[IFEQ_NOJUMP]	375	[deltablue.js]	359
6831	0.0193237	0.980676	132	6699	0x186b482	[IFEQ_JUMP]	83	[deltablue.js]	79
6600	1	0	6600	0	0x18d41c2	[OR_JUMP]	439	[deltablue.js]	437
3564	0.0185185	0.981481	66	3498	0x186e038	[AND_JUMP]	237	[deltablue.js]	236
3498	0.0471698	0.95283	165	3333	0x186dc2e	[IFEQ_JUMP]	267	[deltablue.js]	264
3333	0.990099	0.00990099	3300	33	0x191c7b6	[IFEQ_JUMP]	811	[deltablue.js]	800
3333	0.990099	0.00990099	3300	33	0x191c7a3	[IFEQ_JUMP]	810	[deltablue.js]	800
3333	0	1	0	3333	0x18d37fb	[IFEQ_NOJUMP]	371	[deltablue.js]	359
3333	0	1	0	3333	0x18d3786	[IFEQ_NOJUMP]	366	[deltablue.js]	359
3333	0	1	0	3333	0x18d375d	[AND_NOJUMP]	366	[deltablue.js]	359
3333	0.00990099	0.990099	33	3300	0x191c77b	[IFEQ_JUMP]	808	[deltablue.js]	800
3300	1	0	3300	0	0x191c885	[IFEQ_JUMP]	823	[deltablue.js]	800
3300	0	1	0	3300	0x18d3715	[IFEQ_NOJUMP]	361	[deltablue.js]	359
3300	0	1	0	3300	0x18d36ec	[AND_NOJUMP]	361	[deltablue.js]	359
3267	1	0	3267	0	0x191cc6b	[IFEQ_JUMP]	855	[deltablue.js]	834
165	0	1	0	165	0x191b649	[IFEQ_NOJUMP]	674	[deltablue.js]	670
165	0	1	0	165	0x191b635	[AND_NOJUMP]	674	[deltablue.js]	670
132	1	0	132	0	0x18774db	[IFEQ_JUMP]	618	[deltablue.js]	609
132	0	1	0	132	0x1877908	[IFEQ_NOJUMP]	563	[deltablue.js]	561
132	0	1	0	132	0x1877536	[IFNE_NOJUMP]	622	[deltablue.js]	609
132	0	1	0	132	0x186ddd4	[IFEQ_NOJUMP]	194	[deltablue.js]	193
132	0	1	0	132	0x186dd60	[IFEQ_NOJUMP]	282	[deltablue.js]	281
66	1	0	66	0	0x187720c	[IFEQ_JUMP]	178	[deltablue.js]	175
33	1	0	33	0	0x191cc16	[IFEQ_JUMP]	852	[deltablue.js]	834
33	1	0	33	0	0x191cbe2	[IFEQ_JUMP]	850	[deltablue.js]	834
1	0	1	0	1	0x186f12d	[IFEQ_NOJUMP]	46	[run.js.deltablue.js]	45
